0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
2021-11-03 16:26:38+00:00,-16.8,-0.30991804,-0.299392112,-16.22941176
2021-11-03 16:26:39+00:00,-17.7,-0.326520792,-0.301887951,-16.36470588
2021-11-03 16:26:40+00:00,-17.1,-0.315452291,-0.303841216,-16.47058824
2021-11-03 16:26:41+00:00,-17,-0.31360754,-0.305902995,-16.58235294
2021-11-03 16:26:42+00:00,-16.5,-0.304383789,-0.307205172,-16.65294118
2021-11-03 16:26:43+00:00,-16.6,-0.30622854,-0.308507349,-16.72352941
2021-11-03 16:26:44+00:00,-16.2,-0.298849539,-0.309266952,-16.76470588
2021-11-03 16:26:45+00:00,-16.1,-0.297004788,-0.308941408,-16.74705882
2021-11-03 16:26:46+00:00,-17,-0.31360754,-0.309049922,-16.75294118
2021-11-03 16:26:47+00:00,-17,-0.31360754,-0.309483981,-16.77647059
2021-11-03 16:26:48+00:00,-16.7,-0.30807329,-0.308941408,-16.74705882
2021-11-03 16:26:49+00:00,-16,-0.295160038,-0.307639231,-16.67647059
2021-11-03 16:26:50+00:00,-16.1,-0.297004788,-0.306662598,-16.62352941
2021-11-03 16:26:51+00:00,-16.5,-0.304383789,-0.306771113,-16.62941176
2021-11-03 16:26:52+00:00,-16.9,-0.31176279,-0.306771113,-16.62941176
2021-11-03 16:26:53+00:00,-16.3,-0.300694289,-0.306879628,-16.63529412
2021-11-03 16:26:54+00:00,-17.3,-0.319141791,-0.307964775,-16.69411765
2021-11-03 16:26:55+00:00,-16,-0.295160038,-0.307096657,-16.64705882
2021-11-03 16:26:56+00:00,-17.3,-0.319141791,-0.306662598,-16.62352941
2021-11-03 16:26:57+00:00,-17.7,-0.326520792,-0.307313687,-16.65882353
2021-11-03 16:26:58+00:00,-17.4,-0.320986541,-0.307747746,-16.68235294
2021-11-03 16:26:59+00:00,-17.2,-0.317297041,-0.308507349,-16.72352941
2021-11-03 16:27:00+00:00,-17.1,-0.315452291,-0.309049922,-16.75294118
2021-11-03 16:27:01+00:00,-17.8,-0.328365542,-0.310786158,-16.84705882
2021-11-03 16:27:02+00:00,-17.7,-0.326520792,-0.312522393,-16.94117647
2021-11-03 16:27:03+00:00,-17.6,-0.324676042,-0.313173482,-16.97647059
2021-11-03 16:27:04+00:00,-17.6,-0.324676042,-0.31382457,-17.01176471
2021-11-03 16:27:05+00:00,-17.1,-0.315452291,-0.314258629,-17.03529412
2021-11-03 16:27:06+00:00,-17.1,-0.315452291,-0.315452291,-17.1
2021-11-03 16:27:07+00:00,-17.4,-0.320986541,-0.316862982,-17.17647059
2021-11-03 16:27:08+00:00,-17.1,-0.315452291,-0.31751407,-17.21176471
2021-11-03 16:27:09+00:00,-17.5,-0.322831292,-0.318165159,-17.24705882
2021-11-03 16:27:10+00:00,-17.2,-0.317297041,-0.319141791,-17.3
2021-11-03 16:27:11+00:00,-18,-0.332055043,-0.319901394,-17.34117647
