0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
2021-11-04 16:41:55+00:00,-217.8,-4.040387312,-4.069482943,-219.3684211
2021-11-04 16:41:56+00:00,-220.7,-4.094184939,-4.069287671,-219.3578947
2021-11-04 16:41:57+00:00,-218.8,-4.058938218,-4.066651489,-219.2157895
2021-11-04 16:41:58+00:00,-217.7,-4.038532221,-4.064015308,-219.0736842
2021-11-04 16:41:59+00:00,-217.3,-4.031111859,-4.060109854,-218.8631579
2021-11-04 16:42:00+00:00,-218.4,-4.051517856,-4.057376036,-218.7157895
2021-11-04 16:42:01+00:00,-220.6,-4.092329849,-4.058938218,-218.8
2021-11-04 16:42:02+00:00,-218.3,-4.049662765,-4.057473673,-218.7210526
2021-11-04 16:42:03+00:00,-217.9,-4.042242403,-4.054446946,-218.5578947
2021-11-04 16:42:04+00:00,-217.9,-4.042242403,-4.053080037,-218.4842105
2021-11-04 16:42:05+00:00,-218.2,-4.047807674,-4.052494219,-218.4526316
2021-11-04 16:42:06+00:00,-217.4,-4.03296695,-4.050932037,-218.3684211
2021-11-04 16:42:07+00:00,-220.4,-4.088619667,-4.054056401,-218.5368421
2021-11-04 16:42:08+00:00,-219.9,-4.079344214,-4.055520946,-218.6157895
2021-11-04 16:42:09+00:00,-218.4,-4.051517856,-4.056302037,-218.6578947
2021-11-04 16:42:10+00:00,-217.7,-4.038532221,-4.055423309,-218.6105263
2021-11-04 16:42:11+00:00,-218.8,-4.058938218,-4.054837491,-218.5789474
2021-11-04 16:42:12+00:00,-216.8,-4.021836406,-4.054642219,-218.5684211
2021-11-04 16:42:13+00:00,-216.6,-4.018126225,-4.051517856,-218.4
2021-11-04 16:42:14+00:00,-215.8,-4.0032855,-4.049565129,-218.2947368
2021-11-04 16:42:15+00:00,-216,-4.006995681,-4.04497622,-218.0473684
2021-11-04 16:42:16+00:00,-216.9,-4.023691497,-4.04312113,-217.9473684
2021-11-04 16:42:17+00:00,-215.2,-3.992154957,-4.040680221,-217.8157895
2021-11-04 16:42:18+00:00,-214.8,-3.984734594,-4.038239312,-217.6842105
2021-11-04 16:42:19+00:00,-214.7,-3.982879504,-4.034626768,-217.4894737
2021-11-04 16:42:20+00:00,-214.6,-3.981024413,-4.028768587,-217.1736842
2021-11-04 16:42:21+00:00,-217.2,-4.029256768,-4.027694587,-217.1157895
2021-11-04 16:42:22+00:00,-216.1,-4.008850772,-4.025937133,-217.0210526
2021-11-04 16:42:23+00:00,-215.3,-3.994010047,-4.023398588,-216.8842105
2021-11-04 16:42:24+00:00,-215.5,-3.997720228,-4.020762406,-216.7421053
2021-11-04 16:42:25+00:00,-215,-3.988444775,-4.018419134,-216.6157895
2021-11-04 16:42:26+00:00,-214.7,-3.982879504,-4.012853862,-216.3157895
2021-11-04 16:42:27+00:00,-217.2,-4.029256768,-4.010217681,-216.1736842
2021-11-04 16:42:28+00:00,-218,-4.044097493,-4.009827135,-216.1526316
2021-11-04 16:42:29+00:00,-216.7,-4.019981315,-4.008850772,-216.1
2021-11-04 16:42:30+00:00,-216.1,-4.008850772,-4.006214591,-215.9578947
2021-11-04 16:42:31+00:00,-215.3,-3.994010047,-4.004750045,-215.8789474
2021-11-04 16:42:32+00:00,-214.9,-3.986589685,-4.003090227,-215.7894737
2021-11-04 16:42:33+00:00,-217,-4.025546587,-4.004261864,-215.8526316
2021-11-04 16:42:34+00:00,-218.4,-4.051517856,-4.006605136,-215.9789474
2021-11-04 16:42:35+00:00,-218.5,-4.053372946,-4.008167317,-216.0631579
2021-11-04 16:42:36+00:00,-216.8,-4.021836406,-4.009729499,-216.1473684
2021-11-04 16:42:37+00:00,-216.6,-4.018126225,-4.011486953,-216.2421053
2021-11-04 16:42:38+00:00,-218.3,-4.049662765,-4.015001862,-216.4315789
2021-11-04 16:42:39+00:00,-216.5,-4.016271134,-4.016856952,-216.5315789
2021-11-04 16:42:40+00:00,-217,-4.025546587,-4.01666168,-216.5210526
2021-11-04 16:42:41+00:00,-218.8,-4.058938218,-4.019297861,-216.6631579
2021-11-04 16:42:42+00:00,-217.8,-4.040387312,-4.02173877,-216.7947368
2021-11-04 16:42:43+00:00,-216.4,-4.014416044,-4.022617497,-216.8421053
2021-11-04 16:42:44+00:00,-216,-4.006995681,-4.02359386,-216.8947368
2021-11-04 16:42:45+00:00,-217.2,-4.029256768,-4.026034769,-217.0263158
2021-11-04 16:42:46+00:00,-218.2,-4.047807674,-4.027011132,-217.0789474
2021-11-04 16:42:47+00:00,-217.2,-4.029256768,-4.026230042,-217.0368421
2021-11-04 16:42:48+00:00,-217.4,-4.03296695,-4.026913496,-217.0736842
2021-11-04 16:42:49+00:00,-217.2,-4.029256768,-4.027987496,-217.1315789
2021-11-04 16:42:50+00:00,-217.5,-4.03482204,-4.030135496,-217.2473684
2021-11-04 16:42:51+00:00,-219.5,-4.071923852,-4.034626768,-217.4894737
2021-11-04 16:42:52+00:00,-219.9,-4.079344214,-4.037458222,-217.6421053
2021-11-04 16:42:53+00:00,-219.1,-4.06450349,-4.038141676,-217.6789474
2021-11-04 16:42:54+00:00,-217.1,-4.027401678,-4.036774767,-217.6052632
2021-11-04 16:42:55+00:00,-216.2,-4.010705862,-4.036188949,-217.5736842
2021-11-04 16:42:56+00:00,-217.9,-4.042242403,-4.037458222,-217.6421053
2021-11-04 16:42:57+00:00,-218,-4.044097493,-4.037165313,-217.6263158
2021-11-04 16:42:58+00:00,-216.3,-4.012560953,-4.03697004,-217.6157895
2021-11-04 16:42:59+00:00,-217.4,-4.03296695,-4.037360585,-217.6368421
2021-11-04 16:43:00+00:00,-219.5,-4.071923852,-4.03804404,-217.6736842
2021-11-04 16:43:01+00:00,-221.2,-4.103460392,-4.041363675,-217.8526316
